"input","output","section_texts"
"IT IS PROHIBITED
FOR any person aged 18 or over
TO buy or attempts to buy tobacco , cigarette papers or a relevant nicotine product on behalf of an individual aged under 18 commits an offence.
UNLESS (a) the person had no reason to suspect that the individual concerned was aged under 18, or
(b) in a case where the person has bought or attempted to buy cigarette papers, the person had no reason to suspect that the individual concerned intended to use the papers for smoking.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
  ""type"": ""PROHIBITED"",
  ""for"": ""any person aged 18 or over"",
  ""to"": ""buy or attempts to buy tobacco , cigarette papers or a relevant nicotine product on behalf of an individual aged under 18 commits an offence."",
  ""conditions"": [
    {
      ""type"": ""UNLESS"",
      ""text"": ""(a) the person had no reason to suspect that the individual concerned was aged under 18, or (b) in a case where the person has bought or attempted to buy cigarette papers, the person had no reason to suspect that the individual concerned intended to use the papers for smoking."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/91""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94""
  ]
}","[
  ""section-91""
]"
"IT IS OBLIGATORY
FOR local weights and measures authority in England and Wales
TO enforce the provisions of this section in its area.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""local weights and measures authority in England and Wales"",
  ""to"": ""enforce the provisions of this section in its area."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/93""
  ]
}","[
  ""section-91""
]"
"IT IS PERMITTED
FOR The Secretary of State
TO by regulations make provision prohibiting the sale of nicotine products to persons aged under 18.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Secretary of State"",
  ""to"": ""by regulations make provision prohibiting the sale of nicotine products to persons aged under 18."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/93"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/91""
  ]
}","[
  ""section-92""
]"
"IT IS PERMITTED
FOR The Secretary of State
TO by regulations —
(a) amend section 91 (purchase of tobacco etc on behalf of persons under 18) so as to apply it (with or without modifications) in relation to nicotine products, or
(b) provide for that section to apply (with or without modifications) in relation to nicotine products.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Secretary of State"",
  ""to"": ""by regulations — (a) amend section 91 (purchase of tobacco etc on behalf of persons under 18) so as to apply it (with or without modifications) in relation to nicotine products, or (b) provide for that section to apply (with or without modifications) in relation to nicotine products."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94""
  ]
}","[
  ""section-92""
]"
"IT IS PERMITTED
FOR Regulations under this section 
TO make provision in relation to —
(a) all nicotine products,
(b) nicotine products of a specified kind, or
(c) nicotine products subject to specified exceptions.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
  ""type"": ""PERMITTED"",
  ""for"": ""Regulations under this section"",
  ""to"": ""make provision in relation to — (a) all nicotine products, (b) nicotine products of a specified kind, or (c) nicotine products subject to specified exceptions."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94""
  ]
}","[
  ""section-92""
]"
"IT IS OBLIGATORY
FOR the Secretary of State
TO obtain Welsh Ministers' consent
BEFORE making regulations under this section which would (if contained in an Act of the National Assembly for Wales) be within the legislative competence of that Assembly.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""the Secretary of State"",
  ""to"": ""obtain Welsh Ministers' consent"",
  ""conditions"": [
    {
      ""type"": ""BEFORE"",
      ""text"": ""making regulations under this section which would (if contained in an Act of the National Assembly for Wales) be within the legislative competence of that Assembly."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/92""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/93""
  ]
}","[
  ""section-92""
]"
"IT IS PERMITTED
FOR The Secretary of State
TO by regulations make provision amending, repealing, revoking or otherwise modifying any provision made by or under an enactment (whenever passed or made) in connection with provision made by or under section 92.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/93"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Secretary of State"",
  ""to"": ""by regulations make provision amending, repealing, revoking or otherwise modifying any provision made by or under an enactment (whenever passed or made) in connection with provision made by or under section 92."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/92""
  ]
}","[
  ""section-93""
]"
"IT IS PERMITTED
FOR the Secretary of State
TO make regulations under subsection (6) or (8) 
WHEN/IF/WHERE the Secretary of State considers that the regulations may contribute at any time to reducing the risk of harm to, or promoting, the health or welfare of people under the age of 18.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
  ""type"": ""PERMITTED"",
  ""for"": ""the Secretary of State"",
  ""to"": ""make regulations under subsection (6) or (8)"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the Secretary of State considers that the regulations may contribute at any time to reducing the risk of harm to, or promoting, the health or welfare of people under the age of 18."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/94""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/92""
  ]
}","[
  ""section-94""
]"
"IT IS PERMITTED
FOR the Secretary of State
TO treat regulations under subsection (6) or (8) as capable of contributing to reducing the risk of harm to, or promoting, the health or welfare of people under the age of 18 if the Secretary of State considers that—
(a) at least some of the provisions of the regulations are capable of having that effect, or
(b) the regulations are capable of having that effect when taken together with other regulations that were previously made under subsection (6) or (8) and are in force.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
  ""type"": ""PERMITTED"",
  ""for"": ""the Secretary of State"",
  ""to"": ""treat regulations under subsection (6) or (8) as capable of contributing to reducing the risk of harm to, or promoting, the health or welfare of people under the age of 18 if the Secretary of State considers that— (a) at least some of the provisions of the regulations are capable of having that effect, or (b) the regulations are capable of having that effect when taken together with other regulations that were previously made under subsection (6) or (8) and are in force."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/91"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/92""
  ]
}","[
  ""section-94""
]"
"IT IS PERMITTED
FOR the Secretary of State
TO by regulations make provision about the retail packaging of tobacco products.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/2014/6/section/94"",
  ""type"": ""PERMITTED"",
  ""for"": ""the Secretary of State"",
  ""to"": ""by regulations make provision about the retail packaging of tobacco products."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/92"",
    ""https://www.legislation.gov.uk/ukpga/2014/6/section/93""
  ]
}","[
  ""section-94""
]"
